139,0,0,other
204,22,0,other
206,0,25,other
220,0,3,other
254,0,0,other
61,13,3,other
128,24,24,other
174,32,26,other
254,0,2,other
209,23,23,other
255,255,0,other
255,242,39,other
249,217,94,other
252,234,4,other
255,183,9,other
247,224,23,other
254,242,0,other
246,191,39,other
255,215,12,other
255,166,0,other
159,217,140,other
125,194,75,other
37,202,38,other
0,166,82,other
64,189,85,other
0,128,1,other
35,67,17,other
123,252,1,other
0,255,0,other
33,83,54,other
125,232,88,other
252,79,19,other
255,102,0,other
255,127,0,other
255,128,0,other
255,103,0,other
255,122,1,other
254,101,33,other
255,153,0,other
255,103,0,other
249,255,241,white
253,251,251,white
242,233,228,white
242,233,228,white
250,240,230,white
243,239,227,white
255,237,231,white
229,224,221,white
248,249,254,white
238,228,220,white
9,0,0,black
28,29,33,black
27,32,35,black
36,29,33,black
0,0,0,black
49,54,57,black
47,47,47,black
40,39,45,black
37,37,37,black
10,18,13,black
28,28,28,black
3,91,188,other
0,0,254,other
0,0,255,other
1,119,193,other
0,48,143,other
0,0,154,other
220,220,220,white
211,211,211,white
192,192,192,white
190,190,190,white
152,152,152,white
128,128,128,white
105,105,105,black
85,85,85,black
209,66,142,other
175,68,130,other
189,38,113,other
233,17,132,other
231,78,154,other
214,19,117,other
253,0,127,other
244,194,194,other
247,191,190,other
